Date,Close
2024-01-02,183.56219482421875
2024-01-03,182.187744140625
2024-01-04,179.87393188476562
2024-01-05,179.15211486816406
2024-01-08,183.4830780029297
2024-01-09,183.0677490234375
2024-01-10,184.1060333251953
2024-01-11,183.51275634765625
2024-01-12,183.8390655517578
2024-01-16,181.57469177246094
2024-01-17,180.6352996826172
2024-01-18,186.51873779296875
2024-01-19,189.41590881347656
2024-01-22,191.71983337402344
2024-01-23,192.9954071044922
2024-01-24,192.322998046875
2024-01-25,191.99668884277344
2024-01-26,190.2663116455078
2024-01-29,189.5840301513672
2024-01-30,185.93531799316406
2024-01-31,182.33602905273438
2024-02-01,184.7685546875
2024-02-02,183.7698516845703
2024-02-05,185.57936096191406
2024-02-06,187.1812286376953
2024-02-07,187.2899627685547
2024-02-08,186.21221923828125
2024-02-09,186.97454833984375
2024-02-12,185.29139709472656
2024-02-13,183.20236206054688
2024-02-14,182.32119750976562
2024-02-15,182.03408813476562
2024-02-16,180.49948120117188
2024-02-20,179.7569580078125
2024-02-21,180.5093994140625
2024-02-22,182.53903198242188
2024-02-23,180.70741271972656
2024-02-26,179.3609161376953
2024-02-27,180.81629943847656
2024-02-28,179.6183319091797
2024-02-29,178.9550018310547
2024-03-01,177.8758087158203
2024-03-04,173.361083984375
2024-03-05,168.43055725097656
2024-03-06,167.44049072265625
2024-03-07,167.32167053222656
2024-03-08,169.03448486328125
2024-03-11,171.034423828125
2024-03-12,171.50965881347656
2024-03-13,169.43052673339844
2024-03-14,171.2819366455078
2024-03-15,170.90570068359375
2024-03-18,171.99478149414062
2024-03-19,174.33135986328125
2024-03-20,176.89564514160156
2024-03-21,169.6681365966797
2024-03-22,170.56910705566406
2024-03-25,169.15328979492188
2024-03-26,168.02462768554688
2024-03-27,171.58885192871094
2024-03-28,169.7770538330078
2024-04-01,168.34144592285156
2024-04-02,167.1632843017578
2024-04-03,167.96519470214844
2024-04-04,167.14346313476562
2024-04-05,167.89593505859375
2024-04-08,166.77713012695312
2024-04-09,167.98501586914062
2024-04-10,166.11380004882812
2024-04-11,173.3016815185547
2024-04-12,174.79669189453125
2024-04-15,170.9750213623047
2024-04-16,167.69790649414062
2024-04-17,166.3316192626953
2024-04-18,165.38111877441406
2024-04-19,163.3614044189453
2024-04-22,164.1930389404297
2024-04-23,165.24252319335938
2024-04-24,167.3414764404297
2024-04-25,168.20281982421875
2024-04-26,167.6186981201172
2024-04-29,171.77700805664062
2024-04-30,168.6384735107422
2024-05-01,167.6186981201172
2024-05-02,171.3116455078125
2024-05-03,181.5588836669922
2024-05-06,179.90542602539062
2024-05-07,180.5885772705078
2024-05-08,180.92523193359375
2024-05-09,182.737060546875
2024-05-10,181.47796630859375
2024-05-13,184.6802215576172
2024-05-14,185.82032775878906
2024-05-15,188.09066772460938
2024-05-16,188.2096405029297
2024-05-17,188.23936462402344
2024-05-20,189.3993377685547
2024-05-21,190.69808959960938
2024-05-22,189.26051330566406
2024-05-23,185.27505493164062
2024-05-24,188.34841918945312
2024-05-28,188.35838317871094
2024-05-29,188.65577697753906
2024-05-30,189.64718627929688
2024-05-31,190.5989532470703
